id,explanation,decision_cat,sensitivity
25;baseline;no intervention;4.2

25;baseline;no intervention;3.9

25;baseline;no intervention;4.5

25;baseline;no intervention;5.7

25;baseline;no intervention;5.2

25;baseline;no intervention;2.8

25;baseline;no intervention;5.1

25;baseline;no intervention;1.5

25;baseline;no intervention;2.4

25;baseline;no intervention;5.1

25;baseline;no intervention;4.8

25;baseline;no intervention;3.3

25;baseline;no intervention;3.7

26;baseline;no intervention;4.2

26;baseline;no intervention;3.9

26;baseline;no intervention;4.5

26;baseline;no intervention;5.7

26;baseline;no intervention;2.8

26;baseline;no intervention;5.2

26;baseline;no intervention;0.3

26;baseline;no intervention;0.6

26;baseline;no intervention;5.1

26;baseline;no intervention;2.4

26;baseline;no intervention;5.1

26;baseline;no intervention;4.3

26;baseline;no intervention;3.4

27;baseline;no intervention;4.2

27;baseline;no intervention;3.9

27;baseline;no intervention;4.5

27;baseline;no intervention;4.4

27;baseline;no intervention;5.2

27;baseline;no intervention;5.2

27;baseline;no intervention;2.8

27;baseline;no intervention;5.1

27;baseline;no intervention;1.3

27;baseline;no intervention;2.4

27;baseline;no intervention;5.1

27;baseline;no intervention;4.6

27;baseline;no intervention;5.0

29;contrastive;no intervention;4.2

29;contrastive;no intervention;3.9

29;contrastive;no intervention;4.5

29;contrastive;no intervention;5.7

29;contrastive;no intervention;2.8

29;contrastive;no intervention;5.2

29;contrastive;no intervention;5.1

29;contrastive;no intervention;1.6

29;contrastive;no intervention;2.4

29;contrastive;no intervention;5.1

29;contrastive;allocate to robot;5.0

29;contrastive;no intervention;3.5

30;contrastive;no intervention;4.2

30;contrastive;no intervention;3.9

30;contrastive;no intervention;4.5

30;contrastive;no intervention;5.7

30;contrastive;no intervention;5.2

30;contrastive;no intervention;0.5

30;contrastive;no intervention;0.9

30;contrastive;no intervention;5.1

30;contrastive;no intervention;2.4

30;contrastive;no intervention;5.1

30;contrastive;no intervention;2.8

30;contrastive;no intervention;3.4

28;baseline;no intervention;4.2

28;baseline;allocate to self;3.9

28;baseline;no intervention;4.5

28;baseline;no intervention;4.5

28;baseline;no intervention;5.7

28;baseline;no intervention;5.2

28;baseline;no intervention;2.8

28;baseline;no intervention;5.1

28;baseline;no intervention;1.4

28;baseline;no intervention;1.8

28;baseline;no intervention;5.1

28;baseline;no intervention;4.2

28;baseline;no intervention;4.8

28;baseline;no intervention;2.4

31;contrastive;no intervention;4.2

31;contrastive;no intervention;3.9

31;contrastive;no intervention;4.5

31;contrastive;no intervention;5.7

31;contrastive;no intervention;2.8

31;contrastive;no intervention;5.2

31;contrastive;no intervention;0.5

31;contrastive;no intervention;0.8

31;contrastive;no intervention;5.1

31;contrastive;no intervention;2.4

31;contrastive;no intervention;5.1

31;contrastive;no intervention;5.0

32;contrastive;no intervention;4.2

32;contrastive;no intervention;3.9

32;contrastive;no intervention;4.5

32;contrastive;no intervention;5.7

32;contrastive;no intervention;2.8

32;contrastive;no intervention;5.2

32;contrastive;no intervention;0.5

32;contrastive;no intervention;0.9

