threshold;total_number_messages_human;total_number_messages_robot;firefighter_decisions;firefighter_danger;firefighter_danger_rate;total_allocations_human;total_allocations_robot;total_allocations;total_interventions;disagreement_rate;correct_behavior_rate;incorrect_behavior_rate;incorrect_intervention_rate;correct_intervention_rate;sensitivity;decision;CRR_ND_self;FR_ND_self;FRR_MD_self;FR_ND_robot;CRR_ND_robot;CR_MD_self;CRR_MD_robot;FR_MD_robot;world_nr;tick_nr
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;1;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;1;1
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;2
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;3
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;4
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;5
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;6
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;7
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;8
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;9
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;10
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;11
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;12
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;13
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;14
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;15
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;16
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;17
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;18
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;19
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;20
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;21
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;22
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;23
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;24
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;25
5.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;26
5.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;27
5.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;28
5.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;29
5.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;30
5.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;31
5.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;32
5.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;33
5.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;34
5.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;35
5.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;36
5.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;37
5.0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;38
5.0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;39
5.0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;40
5.0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;41
5.0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;42
5.0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;43
5.0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;44
5.0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;45
5.0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;46
5.0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;47
5.0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;48
5.0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;49
5.0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;50
5.0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;51
5.0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;52
5.0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;53
5.0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;54
5.0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;55
5.0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;56
5.0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;57
5.0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;58
5.0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;59
5.0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;60
5.0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;61
5.0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;62
5.0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;63
5.0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;1;64
