completeness;brutus_action;brutus_location;world_nr;tick_nr
0.0;;(24, 12);1;0
0.0;;(24, 12);1;1
0.0;;(24, 12);1;2
0.0;;(24, 12);1;3
0.0;;(24, 12);1;4
0.0;;(24, 12);1;5
0.0;;(24, 12);1;6
0.0;;(24, 12);1;7
0.0;;(24, 12);1;8
0.0;;(24, 12);1;9
0.0;;(24, 12);1;10
0.0;MoveNorth;(24, 11);1;11
0.0;MoveNorth;(24, 10);1;12
0.0;MoveNorth;(24, 9);1;13
0.0;MoveNorth;(24, 8);1;14
0.0;MoveNorth;(24, 7);1;15
0.0;MoveNorth;(24, 6);1;16
0.0;MoveNorthWest;(23, 5);1;17
0.0;MoveNorth;(23, 4);1;18
0.0;Idle;(23, 4);1;19
0.0;MoveNorth;(23, 3);1;20
0.0;MoveNorthWest;(22, 2);1;21
0.0;MoveNorth;(22, 1);1;22
0.0;MoveSouth;(22, 2);1;23
0.0;MoveNorthEast;(23, 1);1;24
0.0;MoveSouth;(23, 2);1;25
0.0;MoveNorthEast;(24, 1);1;26
0.0;MoveSouth;(24, 2);1;27
0.0;MoveSouthWest;(23, 3);1;28
0.0;MoveSouthWest;(22, 4);1;29
0.0;MoveWest;(21, 4);1;30
0.0;MoveWest;(20, 4);1;31
0.0;MoveWest;(19, 4);1;32
0.0;MoveWest;(18, 4);1;33
0.0;MoveWest;(17, 4);1;34
0.0;MoveWest;(16, 4);1;35
0.0;Idle;(16, 4);1;36
0.0;MoveNorth;(16, 3);1;37
0.0;MoveNorthWest;(15, 2);1;38
0.0;MoveNorth;(15, 1);1;39
0.0;MoveSouth;(15, 2);1;40
0.0;MoveNorthEast;(16, 1);1;41
0.0;MoveSouth;(16, 2);1;42
0.0;MoveNorthEast;(17, 1);1;43
0.0;MoveSouth;(17, 2);1;44
0.0;MoveSouthWest;(16, 3);1;45
0.0;MoveSouth;(16, 4);1;46
0.0;MoveSouth;(16, 5);1;47
0.0;MoveSouth;(16, 6);1;48
0.0;Idle;(16, 6);1;49
0.0;MoveSouth;(16, 7);1;50
0.0;MoveSouthWest;(15, 8);1;51
0.0;MoveSouth;(15, 9);1;52
0.0;MoveNorthEast;(16, 8);1;53
0.0;MoveSouth;(16, 9);1;54
0.0;MoveNorthEast;(17, 8);1;55
0.0;MoveSouth;(17, 9);1;56
0.0;Idle;(17, 9);1;57
0.0;;(17, 9);1;58
0.0;;(17, 9);1;59
0.0;;(17, 9);1;60
0.0;;(17, 9);1;61
0.0;;(17, 9);1;62
0.0;;(17, 9);1;63
